,datetime,radiation,windspeed_100m,total_substation,total_solar_part,total_wind_part,lat,lon,solar_on,wind_on,Hour,Minute
0,2021-07-31 00:15:00+00:00,5.49E-11,13.28788066,10.93,0,-9.83,52.6805141,5.131143408,0,1,0,15
1,2021-07-31 00:30:00+00:00,5.49E-11,13.46787119,10.46,0,-9.7,52.6805141,5.131143408,0,1,0,30
2,2021-07-31 00:45:00+00:00,1.37E-11,13.64786172,8.96,0,-10.7,52.6805141,5.131143408,0,1,0,45
3,2021-07-31 01:00:00+00:00,-2.74E-11,13.82785225,9.26,0,-10.85,52.6805141,5.131143408,0,1,1,0
4,2021-07-31 01:15:00+00:00,-6.86E-11,13.63956809,17.33,0,-9.19,52.6805141,5.131143408,0,1,1,15
5,2021-07-31 01:30:00+00:00,-1.10E-10,13.45128393,17.62,0,-9.89,52.6805141,5.131143408,0,1,1,30
6,2021-07-31 01:45:00+00:00,-8.23E-11,13.26299977,17.77,0,-8.98,52.6805141,5.131143408,0,1,1,45
7,2021-07-31 02:00:00+00:00,-5.49E-11,13.07471561,19.33,0,-6.31,52.6805141,5.131143408,0,1,2,0
8,2021-07-31 02:15:00+00:00,-2.74E-11,13.03663707,14.51,0,-5.86,52.6805141,5.131143408,0,1,2,15
9,2021-07-31 02:30:00+00:00,0,12.99855852,17.23,0,-5.87,52.6805141,5.131143408,0,1,2,30
10,2021-07-31 02:45:00+00:00,5805.185059,12.96047997,20.5,0,-3.12,52.6805141,5.131143408,0,1,2,45
11,2021-07-31 03:00:00+00:00,11610.37012,12.92240143,16.52,0,-4.98,52.6805141,5.131143408,0,1,3,0
12,2021-07-31 03:15:00+00:00,17415.55518,12.97216511,9.69,0,-8.25,52.6805141,5.131143408,0,1,3,15
13,2021-07-31 03:30:00+00:00,23220.74023,13.02192879,11.38,0,-6.39,52.6805141,5.131143408,0,1,3,30
14,2021-07-31 03:45:00+00:00,26067.87939,13.07169247,14.57,0,-7.14,52.6805141,5.131143408,0,1,3,45
15,2021-07-31 04:00:00+00:00,28915.01855,13.12145615,19.24,0,-2.24,52.6805141,5.131143408,0,1,4,0
16,2021-07-31 04:15:00+00:00,31762.15771,12.9752512,14.16,0,-7.11,52.6805141,5.131143408,0,1,4,15
17,2021-07-31 04:30:00+00:00,34609.29688,12.82904625,16.08,0,-5.38,52.6805141,5.131143408,0,1,4,30
18,2021-07-31 04:45:00+00:00,51068.25977,12.6828413,12.04,0,-6.91,52.6805141,5.131143408,0,1,4,45
19,2021-07-31 05:00:00+00:00,67527.22266,12.53663635,16.01,0,-6.84,52.6805141,5.131143408,0,1,5,0
20,2021-07-31 05:15:00+00:00,83986.18555,12.29371762,13.75,0,-8.43,52.6805141,5.131143408,0,1,5,15
21,2021-07-31 05:30:00+00:00,100445.1484,12.05079889,13.15,0,-8.04,52.6805141,5.131143408,0,1,5,30
22,2021-07-31 05:45:00+00:00,120714.1348,11.80788016,14.46,0,-9.34,52.6805141,5.131143408,0,1,5,45
23,2021-07-31 06:00:00+00:00,140983.1211,11.56496143,12.85,0,-10.24,52.6805141,5.131143408,0,1,6,0
24,2021-07-31 06:15:00+00:00,161252.1074,11.22505426,18.7,0,-6.18,52.6805141,5.131143408,0,1,6,15
25,2021-07-31 06:30:00+00:00,181521.0938,10.88514709,18.72,0,-4.8,52.6805141,5.131143408,0,1,6,30
26,2021-07-31 06:45:00+00:00,153660.8672,10.54523993,16.9,0,-4.6,52.6805141,5.131143408,0,1,6,45
27,2021-07-31 07:00:00+00:00,125800.6406,10.20533276,15.03,0,-7.21,52.6805141,5.131143408,0,1,7,0
28,2021-07-31 07:15:00+00:00,97940.41406,10.02419567,22.64,0,-2.79,52.6805141,5.131143408,0,1,7,15
29,2021-07-31 07:30:00+00:00,70080.1875,9.843058586,19.07,0,-7.42,52.6805141,5.131143408,0,1,7,30
30,2021-07-31 07:45:00+00:00,296876.4688,9.661921501,11.13,0,-9.04,52.6805141,5.131143408,0,1,7,45
31,2021-07-31 08:00:00+00:00,523672.75,9.480784416,7.64,0,-8.21,52.6805141,5.131143408,0,1,8,0
