datetime,radiation,windspeed_100m,total_substation,total_solar_part,total_wind_part,lat,lon,solar_on,wind_on,Hour,Minute,var0,var1,var2,sem0,sem1,sem2,min0,min1,max0,max1
2021-07-31 00:15:00+00:00,5.47e-11,14.20629239,-18.71,-5.53,0,53.0237249,5.6512546,1,0,0,15,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 00:30:00+00:00,5.47e-11,14.319098,-23.9,-7.7,0,53.0237249,5.6512546,1,0,0,30,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 00:45:00+00:00,1.37e-11,14.4319036,-26.12,-8.11,0,53.0237249,5.6512546,1,0,0,45,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 01:00:00+00:00,-2.73e-11,14.54470921,-25.7,-7.96,0,53.0237249,5.6512546,1,0,1,0,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 01:15:00+00:00,-6.84e-11,14.71327329,-24.84,-7.86,0,53.0237249,5.6512546,1,0,1,15,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 01:30:00+00:00,-1.09e-10,14.88183737,-26.3,-8.14,0,53.0237249,5.6512546,1,0,1,30,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 01:45:00+00:00,-8.2e-11,15.05040145,-26.07,-8.06,0,53.0237249,5.6512546,1,0,1,45,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 02:00:00+00:00,-5.47e-11,15.21896553,-24.16,-7.7,0,53.0237249,5.6512546,1,0,2,0,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 02:15:00+00:00,-2.73e-11,14.7070837,-23.71,-7.67,0,53.0237249,5.6512546,1,0,2,15,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 02:30:00+00:00,0.0,14.19520187,-23.54,-7.35,0,53.0237249,5.6512546,1,0,2,30,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 02:45:00+00:00,20191.18555,13.68332005,-20.66,-6.17,0,53.0237249,5.6512546,1,0,2,45,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 03:00:00+00:00,40382.37109,13.17143822,-21.04,-5.93,0,53.0237249,5.6512546,1,0,3,0,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 03:15:00+00:00,60573.55664,13.57486248,-22.3,-5.47,0,53.0237249,5.6512546,1,0,3,15,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
2021-07-31 03:30:00+00:00,80764.74219,13.97828674,-26.4,-7.77,0,53.0237249,5.6512546,1,0,3,30,453198871171.77747,13.700988753444454,154.07671101301855,7163.328694534054,0.03938641247286161,0.13208058062998412,-9.91,0.0,0.14,0.0
