tAhead,hForecasted,forecaopenstfitInsol,persistence
0.0,0,2.9088150577696694e-10,0.9000000000137653
0.0,1,2.9088150577696694e-10,0.9000000000137653
0.0,2,2.9088150577696694e-10,0.9000000000137653
0.0,3,2.9088150577696694e-10,0.9000000000137653
0.0,4,2.9088150577696694e-10,0.9000000000137653
0.0,5,2.9088150577696694e-10,0.9000000000137653
0.0,6,2.9088150577696694e-10,0.9000000000137653
0.0,7,0.1411724295573779,0.758827570442622
0.0,8,0.09214367996082157,0.8962843956725071
0.0,9,0.06785182095541478,1.0
0.0,10,0.06785182095541478,1.0
0.0,11,0.06785182095541478,1.0
0.0,12,0.0,0.9999990901212982
0.0,13,0.04813453875425809,0.9583583356857114
0.0,14,0.11025045814544891,0.9291904203592066
0.0,15,0.04859275118607285,0.851407248813927
0.0,16,1.1712073672009993e-10,0.9000000000014788
0.0,17,1.1712073672009993e-10,0.9000000000014788
0.0,18,1.1712073672009993e-10,0.9000000000014788
0.0,19,1.1712073672009993e-10,0.9000000000014788
0.0,20,1.1712073672009993e-10,0.9000000000014788
0.0,21,1.1712073672009993e-10,0.9000000000014788
0.0,22,1.1712073672009993e-10,0.9000000000014788
0.0,23,1.1712073672009993e-10,0.9000000000014788
0.25,0,1.1712073672009993e-10,0.9000000000014788
0.25,1,1.1712073672009993e-10,0.9000000000014788
0.25,2,1.1712073672009993e-10,0.9000000000014788
0.25,3,1.1712073672009993e-10,0.9000000000014788
0.25,4,1.1712073672009993e-10,0.9000000000014788
0.25,5,1.1712073672009993e-10,0.9000000000014788
0.25,6,1.1712073672009993e-10,0.9000000000014788
0.25,7,0.18089425505953965,0.7191057449398902
0.25,8,0.35042470820530025,0.5495752917989147
0.25,9,0.385059453005908,0.7149405469940919
0.25,10,0.5431767736301764,0.5347214350639476
0.25,11,0.562428605087697,0.5375713948996869
0.25,12,0.47319249612220343,0.5844221918416391
0.25,13,0.4404919566344136,0.6595080433650308
0.25,14,0.3482972138337603,0.7517027861662398
0.25,15,0.1481613854794164,0.7518386145293897
0.25,16,9.369663378500093e-11,0.8999999999978596
0.25,17,9.369663378500093e-11,0.8999999999978596
0.25,18,9.369663378500093e-11,0.8999999999978596
0.25,19,9.369663378500093e-11,0.8999999999978596
0.25,20,9.369663378500093e-11,0.8999999999978596
0.25,21,9.369663378500093e-11,0.8999999999978596
0.25,22,9.369663378500093e-11,0.8999999999978596
0.25,23,9.369663378500093e-11,0.8999999999978596
0.5,0,9.369663378500093e-11,0.8999999999978596
0.5,1,9.369663378500093e-11,0.8999999999978596
0.5,2,9.369663378500093e-11,0.8999999999978596
0.5,3,9.369663378500093e-11,0.8999999999978596
0.5,4,9.369663378500093e-11,0.8999999999978596
0.5,5,9.369663378500093e-11,0.8999999999978596
0.5,6,9.369663378500093e-11,0.8999999999978596
0.5,7,0.18570041448155075,0.714299585518769
0.5,8,0.3703173302058325,0.5296826698299847
0.5,9,0.47809339376424853,0.6219066062357514
0.5,10,0.6124770182818429,0.48752298171815706
0.5,11,0.7039874730322893,0.39601252696810546
0.5,12,0.6432646656789155,0.4140429796188362
0.5,13,0.5569938683570331,0.5430061316376317
0.5,14,0.4244722225265509,0.6718691323285314
0.5,15,0.16624068284586543,0.7337593171743687
0.5,16,7.264419621400009e-11,0.9000000000005068
0.5,17,7.264419621400009e-11,0.9000000000005068
0.5,18,7.264419621400009e-11,0.9000000000005068
0.5,19,7.264419621400009e-11,0.9000000000005068
0.5,20,7.264419621400009e-11,0.9000000000005068
